Text;Label
Waspada, Gelombang Ketiga Covid-19 Indonesia Terjadi Akhir Tahun 2021;Fact
"Sepanjang Tahun 2021, 2 Orang Terluka Digigit Komodo, Korban Bocah 4 Tahun dan Seorang ""Naturalist Guide""";Fact
Jumlah Orang ke Tempat Wisata Saat Libur Tahun Baru Naik 161%;Fact
Lele yaitu ikan paling kotor diantara jenis ikan yang lain yang sering dikonsumsi oleh manusia.;Hoax
Sesuap Lele Mengandung 3.000 Sel Kanker, Hoax atau Fakta?;Hoax
iPhone 6 hadir dengan layar melengkung;Hoax
Siap-siap, Pendaftaran CPNS 2021 Dibuka Pekan Ini;Fact
Badan Pusat Statistik (BPS) mencatat, jumlah wisatawan mancanegara pada Januari 2021 hanya sebanyak 141,3 ribu.;Fact
Pembakaran Reog Ponorogo ;Hoax
Penerimaan Pajak Januari 2021 Turun 15,3 Persen;Fact
Jokowi Janji Vaksin COVID-19 Gratis, Gerindra: Harapan Baru 2021;Fact
Corona di AS Tembus 20 Juta Kasus Saat Tahun Baru;Fact
Para ibu yang menggunakan ganja untuk membantu mereka mengasuh anak;Hoax
Ajakan uninstall Traveloka yang  ramai berseliweran di linimasa Twitter. ;Hoax
Peserta aksi 212 tidak bisa masuk masjid istiqlal;Hoax
Sri Mulyani Prediksi Ekonomi RI Sepanjang 2021 Tumbuh 4 Persen;Fact
Infografis Siap-Siap Pemberlakuan PPKM Level 3 Cegah Gelombang Ketiga Covid-19;Fact
Jalankan Peran Kontrol Sosial, IndiHome Luncurkan Paket Khusus Jurnalis;Fact
Bencana Hidrometeorologi adalah Pengaruh Perubahan Iklim dan Kerusakan Lingkungan;Fact
Ketua Satgas Minta Pemda Antisipasi Varian AY.4.2 dan Libur Nataru;Fact
Lexus Sediakan Pengisian Baterai Mobil Listrik Eksklusif Gratis di Jakarta;Fact
cara unik yang ampuh menangani serangan stroke yakni menggunakan jarum;Hoax
Putra Zaskia Adya Mecca Dilarikan ke UGD Karena Saturasi Oksigen Rendah;Fact
Anggota Polres Jakpus Terluka Parah Ditabrak Bandar Narkoba di Cirebon;Fact
Beredar, Gaji Presiden Bakal Naik Rp 533 Juta, Wapres Naik Rp 368 Juta. Kapolri dan Ketua DPR Juga Naik;Hoax
60% Sikat gigi di Indonesia terbuat dari bulu babi;Hoax
Ganggu Fungsi Otak hingga Obesitas, Ini 4 Dampak Buruk Jika Terlalu Banyak Tidur;Fact
Puluhan Guru dan Siswa di Bogor Positif Covid-19, Kemenkes Bakal Screening Massal;Fact
Bayi dalam tas Shopee food;Fact
Jumlah Orang ke Tempat Wisata Saat Libur Tahun Baru Naik 161%;Fact
Pahlawan Bulutangkis, Verawaty Fadjrin Meninggal Dunia;Fact
Prajurit TNI Korban Serangan KKB di Koramil Suru-Suru Papua Dievakuasi ke Sentani;Fact
Cuaca Hari Ini Minggu 21 November 2021, Jabodetabek Berpotensi Hujan Petir dan Angin Kencang;Fact
Antisipasi Gelombang Ketiga Covid-19, Pemkot Bogor Siapkan RS Lapangan;Fact
Mengonsumsi lele dapat menyebabkan kanker;Hoax
134 Juta Lebih Penduduk Indonesia Sudah Divaksinasi Covid-19 Dosis Pertama;Fact
Kasus Positif Bertambah 314, Pasien Meninggal Dunia 11;Fact
Penangkapan ASN Pemkot Cirebon yang 'Nyambi' Jadi Bandar Narkoba;Fact
Bill Gates Ramal Covid-19 akan Setara Flu di Tahun 2022;Fact
Bayi perempuan dibuang di selokan, lalu 'diselamatkan' sekelompok kucing;Fact
Manchester United Resmi Pecat Ole Gunnar Solskjaer;Fact
Cegah Banjir Kalteng Tak Berulang, Kepala BNPN: Harus Ada Target;Fact
Gunung Merapi Meluncurkan Awan Panas Guguran Sejauh 1,8 KM;Fact
Siswa Positif Covid-19, PTM di SDN Sukadamai Bogor Dihentikan Sementara;Fact
Masih PPKM Level 2, Wali Kota Medan Pastikan Perayaan Tahun Baru Ikuti Aturan;Fact
Polisi: Penyebab Robohnya Gedung SMAN 96 Akan Diketahui Pekan Depan;Fact
Bea Cukai Bandung dan Pemerintah Daerah Gelar Sosialisasi di Bidang Cukai Mengenai Pemanfaatan DBHCHT;Fact
Kecelakaan yang menimpa Vanessa Angel diduga ada kejadian mistis;Hoax
Masih Banyak, Kominfo Turunkan 5.013 Konten Hoaks Seputar Covid-19 di Medsos;Fact
Kabar Myriam Bourla, Istri dari CEO Pfizer Alber Bourla Tewas Akibat Komplikasi Vaksin COVID-19;Hoax
Gempa Hari Ini 17 November 2021 Getarkan Bengkulu Utara;Fact
Benarkah Bill Gates dan CEO Pfizer Menolak Disuntik Vaksin Covid-19?;Hoax
Skandal menghebohkan menimpa Badan Otonom Spesialis Penyakit Mata dan Terapi Jaringan;Hoax
Perusahaan E-Parking Besutan Bobby Nasution Baru Seumur Jagung;Fact
Jokowi Ingin PLN dan Pertamina Bersiap Hadapi Transisi Energi;Fact
Puncak Arus Balik Tahun Baru, 16 Ribu Penumpang KA Tiba di Jakarta;Fact
Disiram Air Keras Suami Siri Asal Arab, Wanita di Cianjur Tewas;Fact
Tol Japek Ramai Lancar di Hari Terakhir Libur Tahun Baru;Fact
Pro Kontra Pekerja Terkait Larangan Cuti Akhir Tahun;Fact
Pandemi tersembunyi' bisa timbul akibat kebal antibiotik;Hoax
Misteri asteroid merah Kamo'oalewa yang disebut 'bulan kecil';Fact
CEK FAKTA: Hoaks Video Gunung Semeru Meletus, Ini Faktanya;Hoax
Ibu dan Anak Korban Erupsi Semeru Ditemukan Tewas Berpelukan;Fact
Penerima Vaksin Sinovac Tidak Boleh Booster Pakai Vaksin Covid-19 Pfizer atau Moderna;Hoax
Vaksin Covid-19 Sebabkan Darah Kental dan Memperpendek Umur;Hoax
Muara Bungo Jambi Jadi Zona Merah Penculikan Anak;Hoax
Gunung Semeru erupsi, 13 orang meninggal dunia, puluhan korban luka bakar;Fact
Gunung Semeru erupsi, jembatan penghubung 'runtuh', warga di sejumlah desa 'terisolasi';Fact
Siskaeee Tertangkap polisi di bandara YAI setelah melakukan aksi pamer payudara;Fact
Kabel melintang Jalan di Tebet Terbakar;Fact
Avanza Mobil paling laris sepanjang 2021;Fact
Prabowo luncurkan Kapal cepat rudal buatan dalam negeri;Fact
KRL Anjlok dekat stasiun Sudimara;Fact
Survey indikator kepercayaan publik ke KPK turun Menjadi 71%;Fact
Semeru Erupsi, Jokowi minta kepala BNPB-Mensos lakukan tanggap darurat;Fact
Orang yang Pernah Terinfeksi Covid-19 Memiliki Imunitas Lebih Baik Ketimbang yang Divaksin;Hoax
Bantuan Kompensasi Rp 1jt bagi pemegang kartu vaksin;Hoax
Link Kuota belajar kemendikbud 75gb dan subsidi pulsa 250rb;Hoax
Vaksinasi Covid-19 merusak genetika tubuh dan Menyebabkan kematian 2 tahun kedepan;Hoax
10 Dokter wafat karena covid-19 dalam waktu 24jam setelah disuntik vaksin;Hoax
Guguran awan panas masih rentan terjadi di Semeru;Fact
Banjir Rob rendam 2 kecamatan di Tangerang Ribuan KK terdampak;Fact
Jokowi: RI Jadi 1 dari 5 Negara Berhasil Kendalikan COVID di Level 1 ;Fact
Kasus Mafia Tanah di Kawasan Margasatwa Langkat Naik ke Penyidikan;Fact
Darmawan Prasodjo Ditunjuk Jadi Direktur Utama PLN;Fact
“Tiba di Den Haag, Prabowo ajukan gugatan ke Mahkamah Internasional MMA-UFC”;Hoax
IMPORT KITA SAMPAI KE KONDOM BEKAS;Hoax
[KLARIFIKASI] “design Rumah yg cukup Terjangkau”;Fact
[KLARIFIKASI] Pihak SMPN 30 Jakarta Memberikan Klarifikasi Atas Isu Gurunya Tidak Mau Pasang Foto Presiden dan Wakil Presiden;Fact
[KLARIFIKASI] DISEBUT ADA MAFIA LAKUKAN JUAL BELI DARAH HASIL DONOR, PMI ANGKAT BICARA;Fact
Jokowi pidato hanya satu menit jadi tertawaan orang Jepang;Hoax
“Jika melawan diancam proses hukum berjalan”;Hoax
Terima kasih sudah dibuatkan lagu kebangsaan baru;Hoax
Ribuan Warga China Berdatangan Ke Indonesia Lewat Bandara Kota Pekanbaru;Hoax
Merdeka.com Membuat dan Menayangkan Berita “Ada Wanita Membawa Anjing Masuk Masjid, Polisi Sebut Pelaku Alami Gangguan Jiwa, Jangan Dibesar-besarkan!!”;Hoax
Wanita Bawa Anjing Masuk Masjid;Fact
[KLARIFIKASI] Video Suara Minta Tolong Pendaki yang Hilang di Gunung Piramid;Fact
Video Citilink Terbangkan Satu Penumpang Dari Kertajati Ke Surabaya;Hoax
Viral Video Kepala Tikus Di Mangkuk Mie ayam Di Solo;Hoax
“Gambar karikatur di media prancis”;Hoax
“CEK FAKTA: Presiden Turki Erdogan Tak Akui Kemenangan Jokowi di Pilpres?”;Fact
Akhirnya Thoriq Ditemukan dengan Selamat;Hoax
“Indonesia mengirimkan perwakilan LGBT/GAY ke festival LGBT Paris”;Hoax
Pilpres 2019 Janggal Karena Diumumkan Saat 12 KPU Provinsi Belum Menyelesaikan Situng;Hoax
LOWONGAN KERJA MEMANDIKAN JENAZAH DI RSUD GAMBIRAN DAN PASAR REBO;Hoax
Kayu Gelondongan Impor Dari China Berisikan AMUNISI;Hoax
[KLARIFIKASI] PLN Tidak Melakukan Rekrutmen dengan Korespondensi dan Memungut Biaya;Fact
“Jokowi Dikatakan Seperti Anak Kecil dan Bodoh oleh Media Luar”;Hoax
PENGUMUMAN PENAMBAHAN KUOTA PENERIMAAN POLRI;Hoax
“CNN internasional bilang”;Hoax
Batu tempat Nabi Muhammad duduk ketika melakukan Isra Mi’raj sampai sekarang masih melayang di udara;Hoax
Hati-Hati Daging Manusia Impor dari China;Hoax
“Kompak Resign, Forum Honorer K2 dan PNS Pendukung Prabowo Pilih Jadi Anggota FPI”;Hoax
“awalnya cheetah mengincar kedua anaknya”;Hoax
TEPUK LENGAN UNTUK PERTOLONGAN PERTAMA PADA SERANGAN JANTUNG;Hoax
Pesan Dari Pangdam IX Udayana Tentang Cek Gula Darah Dengan Jarum Bervirus AIDS;Hoax
Lowongan 25 Orang Driver Pengantar Jemaah Haji di Arab Saudi;Hoax
Kebijakan Peniadaan Pendidikan Agama di Sekolah;Hoax
“TERB0NGKAR KENAPA C1.N@ P.K! INGIN BELI SEMUA TANAH STRATEGI DIINDONESIA”;Hoax
NENEK PENCURI SINGKONG DAN HAKIM MULIA;Hoax
Indomaret Memberikan 5000 Voucher Gratis Senilai 2 Juta Rupiah Untuk Merayakan Ultah Ke-30;Hoax
Video Pencurian Di Kereta Api Tengah Malam;Hoax
BEA CUKAI RIAU ADAKAN LELANG TERTUTUP DENGAN HARGA MURAH;Hoax
[KLARIFIKASI] Kepala Kantor Kemenag Gresik, Markus Firdaus Jawab Tudingan yang Menyebut Dirinya Non Muslim;Fact
Setelah wacanakan Menghapus pelajaran agama disekolah, kini terang-terangan melarang busana muslim di sekolah;Hoax
“Salah Satu Pulau di Palu Telah di Jual ke negara China”;Hoax
[KLARIFIKASI] Fakta dan Hoax Tentang Audrey Yu, Sosok Jenius yang Viral;Fact
Khanzarof : Hasil Cloning Dokter Hewan Amerika dan Rusia yang berasal dari Campuran Kambing dan Babi;Hoax
[KLARIFIKASI] Santunan Kecelakaan Jasa Raharja Naik 100 Persen;Fact
Suhu panas Kuwait melelehkan mobil dan lampu lalulintas;Hoax
“Foto para perempuan Indonesia berhijab sekitar tahun 1700”;Hoax
[Klarifikasi] Dieffebachia , Tanaman hias yang beracun;Fact
Kemendagri Telah Menolak Perpanjangan Izin FPI;Hoax
MUNCUL ISU WALI KOTA DEPOK BAKAL DIPERIKSA TERKAIT DUGAAN IJAZAH PALSU, KEPOLISIAN BERI BANTAHAN;Fact
“JOKOWI FAKE AND AUTHORITARY PRESIDENT OF RRC COMMUNISTS,INDONESIA BRANCH”;Hoax
Krupuk Babi Ber Label Halal;Hoax
“Lolongan Histeris Siksa KUBUR Alexander”;Hoax
BARACK OBAMA mewakili Negara Amerika Serikat, telah menyatakan Kemenangan PRABOWO-SANDI;Hoax
[KLARIFIKASI] PT Waskita Karya Tidak Mengeluarkan Undangan Tes Tahap Seleksi untuk Tanggal 12 dan 13 Juli 2019;Fact
Penerapan Ganjil Genap Motor Pada 18-31 Juli;Hoax
Ternyata Biaya untuk Cuci Ginjal Kurang dari 10.000;Hoax
[KLARIFIKASI] Jokowi: Insentif Kartu Pra Kerja Bukan Berarti Gaji untuk Pengangguran;Fact
“DUKA PERTAMA UMAT ISLAM PASCA PILPRES 2019”;Hoax
Hari ini Goobernur Anis menunjukkan bukti otentik ke panitera Mahkamah Internasional;Hoax
Hari ini Goobernur Anis menunjukkan bukti otentik ke panitera Mahkamah Internasional;Hoax
“Kementerian agama diganti namanya menjadi kementerian Urusan Haji Zakat dan Wakaf”;Hoax
Imunisasi adalah tipu daya zionist, yang sebenarnya memasukkan bibit penyakit untuk jangka pendek maupun panjang;Hoax
Truk TNI Angkut Warga China Ke Bandung;Hoax
Lacak Ponsel Hilang Lapor ke cop@vsnl.net;Hoax
Seorang pria yg membintangi sebuah film dan berperan sebagai Nabi Muhammad telah mati terbakar;Hoax
“Krakatau steel di kuasai cina”;Hoax
“Negara ente digadai ke China KOMUNIS”;Hoax
Peringatan Hari Anak Nasional Se Jabar di Polda Jabar;Hoax
LEGENDA SEPAKBOLA BRAZIL PELE MENINGGAL DUNIA;Hoax
Pertemuan Jokowi dan Prabowo adalah Setingan;Hoax
Wiranto: Pendukung Prabowo Yang Tidak Mengakui Kemenangan Jokowi, Tangkap, Tembak Mati!!;Hoax
“Mengerikan Agama Baru Meniru Islam”;Hoax
Deddy Dhukun Meninggal;Hoax
Nanas Madu Dapat Merusak Ginjal;Hoax
Hoaks Catut Nama Merdeka.com Soal Tunggu Komando Habib Rizieq Bunuh Diri Massal;Fact
Daftar Obat Terlarang BPOM (Kop Surat RS Siloam);Hoax
Kalau kita beli aqua berarti kita menyumbang misionaris Kristen;Hoax
Beredar Risalah Rapat Pengangkatan Nama – nama Menteri Kabinet Kerja Jilid II dengan Lambang Garuda dan Bertuliskan Koalisi Indonesia Maju;Hoax
Seorang Suporter Meninggal Pada Laga Tira-Persikabo VS Persija;Hoax
[KLARIFIKASI] Tukar menukar aset negara antara PT KCIC dan Kodam III Siliwangi;Fact
Ma’ruf Amin Sebut Masyarakat yang Tak Mengakui Jokowi sebagai Pemimpin 5 Tahun Kedepan akan Masuk Neraka sampai 7 Turunan;Hoax
Kisah Nyata Arif, Anak Berusia 8 Tahun, Narapidana Cerdas Yang Membunuh Preman dan Kabur dari Lapas Sebanyak Tiga Kali;Hoax
[KLARIFIKASI] Redaksi Liputan 6 SCTV: “Redaksi Liputan 6 SCTV tak pernah memberitakan tentang tanah yang dipakai untuk proyek kereta api cepat Jakarta-Bandung milik RRC.”;Fact
JAMUR VS TERUNG;Hoax
“PERCETAKAN ALQURAN DIHENTIKAN”;Hoax
[KLARIFIKASI] PENJELASAN TENTANG CARA PENANGANAN HIPOTERMIA DENGAN CARA ”DISETUBUHI”;Fact
[KLARIFIKASI] Awan Berbentuk Topi di Gunung Rinjani Tidak Berdampak Gempa;Fact
Foto 200 relawan yang dibebaskan Prabowo dari penjara;Hoax
Video Menag dan Forum LGBTIQ Penerima Penghargaan;Hoax
“Khoirul Anwar Penemu 4G LTE”;Hoax
Wawan gangguan jiwa karena kecanduan main game;Hoax
[KLARIFIKASI] Dampak Mekanisme Pertahanan Kaki Seribu;Fact
“KALAU SAYA MENGUNDURKAN DIRI, EMANG ADA YG SANGGUP MEMBANGUN INDONESIA”;Hoax
MASJID INI TERBAKAR BARU TADI;Hoax
Pendeta di Brazil: “wanita gemuk tidak bisa masuk sorga”;Hoax
Serangan teroris di Algeria;Hoax
“jelmaan babi”;Hoax
[KLARIFIKASI] PSI Bantah Setiap Calegnya Diwajibkan Beli Kartu Sakti;Fact
“’RUSIA’ saja sampai meminta ilmu strategi perang kepada saya, kenapa orang ‘INDONESIA’ malah meragukan saya”;Hoax
“baju PKI lagi beraksi”;Hoax
Asosiasi Guru Bahasa dan Sastra Indonesia Kecam Anies Baswedan;Hoax
Ahok beli tanaman plastik 8 M dipake sebentar, Ganjar nyanyi bareng slank 18 M cuma sehari;Hoax
“Mendagri tidak memberi ijin cuti kepada walikota Sumbar untuk menunaikan ibadah haji, rezim setan..”;Hoax
Racun Dari Nasi di Magic Com;Hoax
[KLARIFIKASI] Penguburan Janin Hasil Aborsi oleh Penduduk Dusun Doi Coc;Fact
“OKTOBER 2019 PRABOWO-SANDI DILANTIK”;Hoax
[KLARIFIKASI] Bukalapak dan ACT Memberikan Klarifikasi Atas Isu Menyokong Kelompok Radikal;Fact
Artikel Liputan6.com : “Rhoma Irama: “Saya Yang Salah, Dulu Saya Bilang Jangan Sentuh Miras Walau Setetes.. Dia Malah Nyabu”;Hoax
“Said Aqil: Negara China Bukan Negara Komunis, Yang Komunis Itu Justru Arab?”;Hoax
“Bantu Saudara kita Dengan Kirim Fotto ini Lewat Whatshaap”;Hoax
“Megawati : Jokowi Itu Idaman Seluruh Alam, Bahkan “ALIEN” Saja Mau Di Pimpin Oleh Beliau.”;Hoax
“SAID AQIL: Jangan Bilang Siapa-Siapa ya. Fieling Saya,Pak Jokowi Itu “IMAM MAHDI” Yang Muncul di Akhir Zaman Nanti”;Hoax
Bandara Soekarno Hatta Akan Dijual Kepada Hongkong;Hoax
“Hancur kota ya sengsara warga ya”;Hoax
Bahaya Daging Kurban Dibungkus Kresek Hitam;Fact
Video Penyerangan terhadap Anggota TNI di Papua;Hoax
PT Pos Indonesia Membantah Isu Telah Bangkrut;Fact
“Penderita Gila akibat Pilpres meningkat tajam di sumbar”;Hoax
“hacker sudah mulai masuk facebook dan bbm”;Hoax
UNESCO Nyatakan ISLAM Agama Paling Damai Sedunia;Hoax
[KLARIFIKASI] Foto di Kolom “Fenomena Langit Redup Jakarta”;Fact
[KLARIFIKASI] BTN dan UGM bantah terlibat dalam acara “UGM BTN Death Marathon 1000K, Lari Menuju Kematian”;Fact
Foto ormas FPI membantu bencana erupsi Gunung Tangkuban Perahu;Hoax
[KLARIFIKASI] “visa bebas dijadikan sarana rakyat China datang ke Indonesia cari pekerjaan”;Fact
“Politisi PDIP : Negara Akan Hancur Bila Jokowi Tidak Segera Mundur”;Hoax
“babi hutan melahirkan 3 anak mirip bayi manusia”;Hoax
Lowongan Pekerjaan PT Timah Persero Tbk 2019;Hoax
Dirut PT Agung Podomoro Land Cosmas Batubara Meninggal Dunia;Hoax
[KLARIFIKASI] Disebut Menyegel Mushola dan Melarang Orang Shalat, Kumtua dan Pemkab Minahasa Utara Nyatakan Tidak Benar;Fact
Surat Pemberitahuan Pembekalan dan Penetapan Nama ASN Yang Lulus Dari Jalur Kebijakan Kementerian;Hoax
“DKI Jakarta berhasil swasembada Eceng Gondok”;Hoax
[KLARIFIKASI] “TNI Bantah Rekrut Lulusan Sarjana Agama Islam Melalui jalur PaPK Khusus Rohaniwan Intelijen”;Fact
“Moeldoko: Pendukung Prabowo yg tidak mau mengakui kemengan Jokowi harus di tangkap”;Hoax
Seorang Perempuan Rela Digilir Demi Lunasi Hutang Pada Fintech;Hoax
“Ini beneran ikan duyung”;Hoax
“CONTOH terbaik dari Gakbener DKI”;Hoax
[KLARIFIKASI] Pengurus IMI bantah ada korban jiwa di kecelakaan Reli Mobil APRC 2019;Fact
Demo di Hongkong karena menolak campur tangan fihak Negara China Komunis;Hoax
